date,Soberano (Gob CERO Pesos),Bancario (CORP Bancarios AAA),Corporativo (CORP AAA)
2016-01-31,-1.0999,-2.5454,-1.0588
2016-02-29,-1.1058,-2.5408,-0.9825
2016-03-31,-1.1072,-2.4809,-1.0001
2016-04-30,-1.1100,-2.5778,-1.0545
2016-05-31,-1.1026,-2.6496,-1.0086
2016-06-30,-1.1101,-2.6845,-0.9763
2016-07-31,-1.1117,-2.6306,-1.0286
2016-08-31,-1.1270,-2.5702,-1.3809
2016-09-30,-1.1292,-2.5406,-1.6185
2016-10-31,-1.1290,-2.5537,-1.7051
2016-11-30,-1.1066,-2.6218,-1.1812
2016-12-31,-1.1315,-2.6094,-1.4115
2017-01-31,-1.1325,-2.5875,-1.4998
2017-02-28,-1.1345,-2.5961,-1.5454
2017-03-31,-1.1351,-2.6008,-1.4782
2017-04-30,-1.1420,-2.6393,-1.4788
2017-05-31,-1.1286,-2.6508,-1.4923
2017-06-30,-1.1246,-2.6934,-1.4837
2017-07-31,-1.1269,-2.6699,-1.4665
2017-08-31,-1.1175,-2.6027,-1.3885
2017-09-30,-1.1099,-2.5860,-1.4293
2017-10-31,-1.1054,-2.6368,-1.1397
2017-11-30,-1.0921,-2.5977,-1.1847
2017-12-31,-1.0978,-2.6014,-1.3356
2018-01-31,-1.1048,-2.6067,-1.2856
2018-02-28,-1.1004,-2.6025,-1.2618
2018-03-31,-1.1000,-2.6193,-1.3882
2018-04-30,-1.1033,-2.6299,-1.3598
2018-05-31,-1.0938,-2.6121,-1.3443
2018-06-30,-1.0891,-2.6578,-1.2993
2018-07-31,-1.0872,-2.6023,-1.2982
2018-08-31,-1.0896,-2.5818,-1.2860
2018-09-30,-1.0808,-2.5695,-1.2690
2018-10-31,-1.0800,-2.6133,-1.3896
2018-11-30,-1.0904,-2.6219,-1.4922
2018-12-31,-1.1042,-2.6385,-1.6640
2019-01-31,-1.1097,-2.5912,-1.6328
2019-02-28,-1.1126,-2.5597,-1.7120
2019-03-31,-1.1260,-2.5170,-1.8071
2019-04-30,-1.1305,-2.5439,
2019-05-31,-1.1578,-2.5415,-1.9976
2019-06-30,-1.1836,-2.5750,
2019-07-31,-1.2120,-2.5306,
2019-08-31,-1.2288,-2.5093,
2019-09-30,-1.2781,-2.5396,
2019-10-31,-1.2230,-2.5564,
2019-11-30,-1.1879,-2.6192,
2019-12-31,-1.2044,-2.5850,
2020-01-31,-1.1907,-2.6104,
2020-02-29,-1.1486,-2.5895,
2020-03-31,-1.1444,-2.5866,
2020-04-30,-1.2544,-2.6610,
2020-05-31,-1.3042,-2.6934,
2020-06-30,-1.2923,-2.6722,
2020-07-31,-1.2818,-2.6725,
2020-08-31,-1.2913,-2.6970,
2020-09-30,-1.2286,-2.7151,
2020-10-31,-1.2363,-2.8251,
2020-11-30,-1.2179,-2.8788,
2020-12-31,-1.2235,-2.8349,
2021-01-31,-1.2283,-2.7847,
2021-02-28,-1.1655,-2.8209,
2021-03-31,-1.0971,-2.8877,-2.2349
2021-04-30,-1.1739,-2.7982,-1.9595
2021-05-31,-1.1575,-2.7765,
2021-06-30,-1.0926,-2.8245,
2021-07-31,-1.0951,-2.6507,
2021-08-31,-1.0653,-2.7296,
2021-09-30,-0.9831,-2.4965,
2021-10-31,-0.9275,-2.4553,
2021-11-30,-0.9891,-2.4369,-0.9164
2021-12-31,-1.0164,-2.4947,-1.1518
2022-01-31,-1.0164,-2.4285,-1.0392
2022-02-28,-1.0128,-2.2898,-1.3180
2022-03-31,-0.9786,-2.4055,-1.0393
2022-04-30,-0.9468,-2.3657,-1.2160
2022-05-31,-1.0088,-2.2956,-1.6486
2022-06-30,-1.0126,-2.3458,-1.5292
2022-07-31,-0.9861,-2.3825,-1.6381
2022-08-31,-0.9749,-2.2327,-1.7012
2022-09-30,-0.9735,-2.1819,-1.2085
2022-10-31,-1.0407,-2.2254,-1.4387
2022-11-30,-1.1860,-2.3959,-2.0054
2022-12-31,-1.2029,-2.3391,-1.9904
2023-01-31,-1.1862,-2.3398,-1.7727
2023-02-28,-1.1422,-2.3960,-1.5340
2023-03-31,-1.2154,-2.3791,-1.8691
2023-04-30,-1.1769,-2.3109,-1.6786
2023-05-31,-1.1804,-2.3115,-1.9226
2023-06-30,-1.2170,-2.4449,-1.8656
2023-07-31,-1.2128,-2.5552,-1.2619
2023-08-31,-1.1467,-2.4028,-1.2685
2023-09-30,-1.0719,-2.4403,-0.8558
2023-10-31,-1.0018,-2.4678,-0.7053
2023-11-30,-1.1140,-2.5154,-1.1100
2023-12-31,-1.1658,-2.5151,-1.2246
2024-01-31,-1.1559,-2.5793,-0.9817
2024-02-29,-1.1065,-2.5605,-0.8115
2024-03-31,-1.0905,-2.5252,-0.9825
2024-04-30,-1.0158,-2.5839,-0.7475
2024-05-31,-1.0124,-2.5628,-0.9339
2024-06-30,-0.9689,-2.5865,-0.9868
2024-07-31,-0.9878,-2.5636,-1.1409
2024-08-31,-1.0623,-2.5444,-1.3336
2024-09-30,-1.1160,-2.4406,-1.7832
2024-10-31,-1.0600,-2.4483,-1.7707
2024-11-30,-1.0845,-2.4439,-1.8795
2024-12-31,-1.0457,-2.5007,-1.5294
2025-01-31,-1.0627,-2.4569,-1.3829
2025-02-28,-1.0115,-2.5121,-1.1591
2025-03-31,-1.0185,-2.5335,-1.3572
2025-04-30,-1.0420,-2.6387,-1.3085
2025-05-31,-1.0208,-2.6310,-1.2527
2025-06-30,-1.1004,-2.5961,-1.3268
2025-07-31,-1.1326,-2.5332,-1.2332
2025-08-31,-1.0956,-2.5468,-1.1828
2025-09-30,-1.1145,-2.5302,-1.2904
2025-10-31,-1.1324,-2.5570,-1.5219
2025-11-30,-1.0906,-2.5567,-1.8766
2025-12-31,-1.0795,-2.5498,-1.5666
2026-01-31,-1.0926,-2.5194,-1.6399
2026-02-28,-1.0749,-2.5491,-1.4243
2026-03-31,-1.1119,-2.3333,-1.4241
2026-04-30,-1.0458,-2.4347,-1.2824
2026-05-31,-1.0104,-2.5714,-1.1350
2026-06-30,-1.0179,-2.6401,-1.2250
2026-07-31,-1.0099,-2.6092,-1.1162
